% time	cellId	IMSI	RNTI	layer	correct
3527	0	1	20	0	1
3527	0	2	20	0	1
3527	0	3	20	0	1
3527	0	4	20	0	1
3527	0	5	20	0	1
3527	0	6	20	0	1
3527	0	7	20	0	1
3527	0	8	20	0	1
3527	0	9	20	0	1
3527	0	10	20	0	1
3527	0	11	20	0	1
3527	0	12	20	0	1
3527	0	13	20	0	1
3527	0	14	20	0	1
3527	0	15	20	0	1
3527	0	16	20	0	1
3527	0	17	20	0	1
3527	0	18	20	0	1
3527	0	19	20	0	1
3527	0	21	20	0	1
3527	0	22	20	0	1
3527	0	23	20	0	1
3527	0	24	20	0	1
3527	0	25	20	0	1
3527	0	26	20	0	1
3527	0	27	20	0	1
3527	0	28	20	0	1
3527	0	29	20	0	1
3527	0	30	20	0	1
3527	0	31	20	0	1
3527	0	32	20	0	1
3527	0	33	20	0	1
3527	0	34	20	0	1
3527	0	35	20	0	1
3527	0	36	20	0	1
3527	0	37	20	0	1
3527	0	38	20	0	1
3527	0	39	20	0	1
3527	0	40	20	0	1
3527	0	41	20	0	1
3527	0	42	20	0	1
3527	0	43	20	0	1
3527	0	44	20	0	1
3527	0	45	20	0	1
3527	0	46	20	0	1
3527	0	47	20	0	1
3527	0	48	20	0	1
3527	0	49	20	0	1
3527	0	50	20	0	1
3533	0	1	20	0	1
3533	0	2	20	0	1
3533	0	3	20	0	1
3533	0	4	20	0	1
3533	0	5	20	0	1
3533	0	6	20	0	1
3533	0	7	20	0	1
3533	0	8	20	0	1
3533	0	9	20	0	1
3533	0	10	20	0	1
3533	0	11	20	0	1
3533	0	12	20	0	1
3533	0	13	20	0	1
3533	0	14	20	0	1
3533	0	15	20	0	1
3533	0	16	20	0	1
3533	0	17	20	0	1
3533	0	18	20	0	1
3533	0	19	20	0	1
3533	0	21	20	0	1
3533	0	22	20	0	1
3533	0	23	20	0	1
3533	0	24	20	0	1
3533	0	25	20	0	1
3533	0	26	20	0	1
3533	0	27	20	0	1
3533	0	28	20	0	1
3533	0	29	20	0	1
3533	0	30	20	0	1
3533	0	31	20	0	1
3533	0	32	20	0	1
3533	0	33	20	0	1
3533	0	34	20	0	1
3533	0	35	20	0	1
3533	0	36	20	0	1
3533	0	37	20	0	1
3533	0	38	20	0	1
3533	0	39	20	0	1
3533	0	40	20	0	1
3533	0	41	20	0	1
3533	0	42	20	0	1
3533	0	43	20	0	1
3533	0	44	20	0	1
3533	0	45	20	0	1
3533	0	46	20	0	1
3533	0	47	20	0	1
3533	0	48	20	0	1
3533	0	49	20	0	1
3533	0	50	20	0	1
4162	0	1	50	0	1
4162	0	2	50	0	1
4162	0	3	50	0	1
4162	0	4	50	0	1
4162	0	5	50	0	1
4162	0	6	50	0	1
4162	0	7	50	0	1
4162	0	8	50	0	1
4162	0	9	50	0	1
4162	0	10	50	0	1
4162	0	11	50	0	1
4162	0	12	50	0	1
4162	0	13	50	0	1
4162	0	14	50	0	1
4162	0	15	50	0	1
4162	0	16	50	0	1
4162	0	17	50	0	1
4162	0	18	50	0	1
4162	0	19	50	0	1
4162	0	20	50	0	1
4162	0	21	50	0	1
4162	0	22	50	0	1
4162	0	23	50	0	1
4162	0	24	50	0	1
4162	0	25	50	0	1
4162	0	26	50	0	1
4162	0	27	50	0	1
4162	0	28	50	0	1
4162	0	29	50	0	1
4162	0	30	50	0	1
4162	0	31	50	0	1
4162	0	32	50	0	1
4162	0	33	50	0	1
4162	0	34	50	0	1
4162	0	35	50	0	1
4162	0	36	50	0	1
4162	0	37	50	0	1
4162	0	38	50	0	1
4162	0	39	50	0	1
4162	0	40	50	0	1
4162	0	41	50	0	1
4162	0	42	50	0	1
4162	0	43	50	0	1
4162	0	44	50	0	1
4162	0	45	50	0	1
4162	0	46	50	0	1
4162	0	47	50	0	1
4162	0	48	50	0	1
4162	0	49	50	0	1
4168	0	1	41	0	1
4168	0	1	9	0	1
4168	0	2	9	0	1
4168	0	2	41	0	1
4168	0	3	41	0	1
4168	0	3	9	0	1
4168	0	4	41	0	1
4168	0	4	9	0	1
4168	0	5	41	0	1
4168	0	5	9	0	1
4168	0	6	9	0	1
4168	0	6	41	0	1
4168	0	7	41	0	1
4168	0	7	9	0	1
4168	0	8	41	0	1
4168	0	8	9	0	1
4168	0	10	9	0	1
4168	0	10	41	0	1
4168	0	11	9	0	1
4168	0	11	41	0	1
4168	0	12	9	0	1
4168	0	12	41	0	1
4168	0	13	41	0	1
4168	0	13	9	0	1
4168	0	14	41	0	1
4168	0	14	9	0	1
4168	0	15	9	0	1
4168	0	15	41	0	1
4168	0	16	9	0	1
4168	0	16	41	0	1
4168	0	17	41	0	1
4168	0	17	9	0	1
4168	0	18	9	0	1
4168	0	18	41	0	1
4168	0	19	41	0	1
4168	0	19	9	0	1
4168	0	20	9	0	1
4168	0	20	41	0	1
4168	0	21	9	0	1
4168	0	21	41	0	1
4168	0	22	9	0	1
4168	0	22	41	0	1
4168	0	23	9	0	1
4168	0	23	41	0	1
4168	0	24	9	0	1
4168	0	24	41	0	1
4168	0	25	9	0	1
4168	0	25	41	0	1
4168	0	26	9	0	1
4168	0	26	41	0	1
4168	0	27	9	0	1
4168	0	27	41	0	1
4168	0	28	9	0	1
4168	0	28	41	0	1
4168	0	29	41	0	1
4168	0	29	9	0	1
4168	0	30	9	0	1
4168	0	30	41	0	1
4168	0	31	9	0	1
4168	0	31	41	0	1
4168	0	32	41	0	1
4168	0	32	9	0	1
4168	0	33	41	0	1
4168	0	33	9	0	1
4168	0	34	9	0	1
4168	0	34	41	0	1
4168	0	35	41	0	1
4168	0	35	9	0	1
4168	0	36	9	0	1
4168	0	36	41	0	1
4168	0	37	9	0	1
4168	0	37	41	0	1
4168	0	38	41	0	1
4168	0	38	9	0	1
4168	0	39	41	0	1
4168	0	39	9	0	1
4168	0	40	9	0	1
4168	0	40	41	0	1
4168	0	42	9	0	1
4168	0	42	41	0	1
4168	0	43	41	0	1
4168	0	43	9	0	1
4168	0	44	9	0	1
4168	0	44	41	0	1
4168	0	45	41	0	1
4168	0	45	9	0	1
4168	0	46	41	0	1
4168	0	46	9	0	1
4168	0	47	9	0	1
4168	0	47	41	0	1
4168	0	48	41	0	1
4168	0	48	9	0	1
4168	0	49	41	0	1
4168	0	49	9	0	1
4168	0	50	41	0	1
4168	0	50	9	0	1
4170	0	1	14	0	1
4170	0	2	14	0	1
4170	0	3	14	0	1
4170	0	4	14	0	1
4170	0	5	14	0	1
4170	0	6	14	0	1
4170	0	7	14	0	1
4170	0	8	14	0	1
4170	0	9	14	0	1
4170	0	10	14	0	1
4170	0	11	14	0	1
4170	0	12	14	0	1
4170	0	13	14	0	1
4170	0	15	14	0	1
4170	0	16	14	0	1
4170	0	17	14	0	1
4170	0	18	14	0	1
4170	0	19	14	0	1
4170	0	20	14	0	1
4170	0	21	14	0	1
4170	0	22	14	0	1
4170	0	23	14	0	1
4170	0	24	14	0	1
4170	0	25	14	0	1
4170	0	26	14	0	1
4170	0	27	14	0	1
4170	0	28	14	0	1
4170	0	29	14	0	1
4170	0	30	14	0	1
4170	0	31	14	0	1
4170	0	32	14	0	1
4170	0	33	14	0	1
4170	0	34	14	0	1
4170	0	35	14	0	1
4170	0	36	14	0	1
4170	0	37	14	0	1
4170	0	38	14	0	1
4170	0	39	14	0	1
4170	0	40	14	0	1
4170	0	41	14	0	1
4170	0	42	14	0	1
4170	0	43	14	0	1
4170	0	44	14	0	1
4170	0	45	14	0	1
4170	0	46	14	0	1
4170	0	47	14	0	1
4170	0	48	14	0	1
4170	0	49	14	0	1
4170	0	50	14	0	1
4173	0	1	9	0	1
4173	0	2	9	0	1
4173	0	3	9	0	1
4173	0	4	9	0	1
4173	0	5	9	0	1
4173	0	6	9	0	1
4173	0	7	9	0	1
4173	0	8	9	0	1
4173	0	10	9	0	1
4173	0	11	9	0	1
4173	0	12	9	0	1
4173	0	13	9	0	1
4173	0	14	9	0	1
4173	0	15	9	0	1
4173	0	16	9	0	1
4173	0	17	9	0	1
4173	0	18	9	0	1
4173	0	19	9	0	1
4173	0	20	9	0	1
4173	0	21	9	0	1
4173	0	22	9	0	1
4173	0	23	9	0	1
4173	0	24	9	0	1
4173	0	25	9	0	1
4173	0	26	9	0	1
4173	0	27	9	0	1
4173	0	28	9	0	1
4173	0	29	9	0	1
4173	0	30	9	0	1
4173	0	31	9	0	1
4173	0	32	9	0	1
4173	0	33	9	0	1
4173	0	34	9	0	1
4173	0	35	9	0	1
4173	0	36	9	0	1
4173	0	37	9	0	1
4173	0	38	9	0	1
4173	0	39	9	0	1
4173	0	40	9	0	1
4173	0	41	9	0	1
4173	0	42	9	0	1
4173	0	43	9	0	1
4173	0	44	9	0	1
4173	0	45	9	0	1
4173	0	46	9	0	1
4173	0	47	9	0	1
4173	0	48	9	0	1
4173	0	49	9	0	1
4173	0	50	9	0	1
4174	0	1	41	0	1
4174	0	2	41	0	1
4174	0	3	41	0	1
4174	0	4	41	0	1
4174	0	5	41	0	1
4174	0	6	41	0	1
4174	0	7	41	0	1
4174	0	8	41	0	1
4174	0	9	41	0	1
4174	0	10	41	0	1
4174	0	11	41	0	1
4174	0	12	41	0	1
4174	0	13	41	0	1
4174	0	14	41	0	1
4174	0	15	41	0	1
4174	0	16	41	0	1
4174	0	17	41	0	1
4174	0	18	41	0	1
4174	0	19	41	0	1
4174	0	20	41	0	1
4174	0	21	41	0	1
4174	0	22	41	0	1
4174	0	23	41	0	1
4174	0	24	41	0	1
4174	0	25	41	0	1
4174	0	26	41	0	1
4174	0	27	41	0	1
4174	0	28	41	0	1
4174	0	29	41	0	1
4174	0	30	41	0	1
4174	0	31	41	0	1
4174	0	32	41	0	1
4174	0	33	41	0	1
4174	0	34	41	0	1
4174	0	35	41	0	1
4174	0	36	41	0	1
4174	0	37	41	0	1
4174	0	38	41	0	1
4174	0	39	41	0	1
4174	0	40	41	0	1
4174	0	42	41	0	1
4174	0	43	41	0	1
4174	0	44	41	0	1
4174	0	45	41	0	1
4174	0	46	41	0	1
4174	0	47	41	0	1
4174	0	48	41	0	1
4174	0	49	41	0	1
4174	0	50	41	0	1
4175	0	1	14	0	1
4175	0	1	50	0	1
4175	0	2	50	0	1
4175	0	2	14	0	1
4175	0	3	14	0	1
4175	0	3	50	0	1
4175	0	4	50	0	1
4175	0	4	14	0	1
4175	0	5	14	0	1
4175	0	5	50	0	1
4175	0	6	14	0	1
4175	0	6	50	0	1
4175	0	7	14	0	1
4175	0	7	50	0	1
4175	0	8	50	0	1
4175	0	8	14	0	1
4175	0	9	14	0	1
4175	0	9	50	0	1
4175	0	10	14	0	1
4175	0	10	50	0	1
4175	0	11	50	0	1
4175	0	11	14	0	1
4175	0	12	14	0	1
4175	0	12	50	0	1
4175	0	13	50	0	1
4175	0	13	14	0	1
4175	0	15	14	0	1
4175	0	15	50	0	1
4175	0	16	14	0	1
4175	0	16	50	0	1
4175	0	17	14	0	1
4175	0	17	50	0	1
4175	0	18	50	0	1
4175	0	18	14	0	1
4175	0	19	14	0	1
4175	0	19	50	0	1
4175	0	20	14	0	1
4175	0	20	50	0	1
4175	0	21	50	0	1
4175	0	21	14	0	1
4175	0	22	50	0	1
4175	0	22	14	0	1
4175	0	23	14	0	1
4175	0	23	50	0	1
4175	0	24	14	0	1
4175	0	24	50	0	1
4175	0	25	14	0	1
4175	0	25	50	0	1
4175	0	26	14	0	1
4175	0	26	50	0	1
4175	0	27	14	0	1
4175	0	27	50	0	1
4175	0	28	50	0	1
4175	0	28	14	0	1
4175	0	29	50	0	1
4175	0	29	14	0	1
4175	0	30	14	0	1
4175	0	30	50	0	1
4175	0	31	14	0	1
4175	0	31	50	0	1
4175	0	32	50	0	1
4175	0	32	14	0	1
4175	0	33	14	0	1
4175	0	33	50	0	1
