% time	cellId	IMSI	RNTI	SlPframe	SlPsframe	SchStartframe	SchSsframe	frame	sframe	mcs	TBS	psschRB	psschLen
3537	0	20	20	353	1	354	7	355	2	10	173	8	8
3545	0	20	20	353	1	354	7	355	10	10	173	8	8
3553	0	20	20	353	1	354	7	356	8	10	173	8	8
3561	0	20	20	353	1	354	7	357	6	10	173	8	8
3569	0	20	20	353	1	354	7	358	4	10	173	8	8
3577	0	20	20	353	1	354	7	359	2	10	173	8	8
3585	0	20	20	353	1	354	7	359	10	10	173	8	8
3593	0	20	20	353	1	354	7	360	8	10	173	8	8
4172	0	50	50	417	1	418	7	418	7	10	173	0	8
4173	0	14	14	417	1	418	7	418	8	10	173	8	8
4174	0	9	9	417	1	418	7	418	9	10	173	0	8
4178	0	41	41	417	1	418	7	419	3	10	173	8	8
4180	0	50	50	417	1	418	7	419	5	10	173	0	8
4181	0	14	14	417	1	418	7	419	6	10	173	8	8
4182	0	9	9	417	1	418	7	419	7	10	173	0	8
4186	0	41	41	417	1	418	7	420	1	10	173	8	8
4188	0	50	50	417	1	418	7	420	3	10	173	0	8
4189	0	14	14	417	1	418	7	420	4	10	173	8	8
4190	0	9	9	417	1	418	7	420	5	10	173	0	8
4194	0	41	41	417	1	418	7	420	9	10	173	8	8
4196	0	50	50	417	1	418	7	421	1	10	173	0	8
4197	0	14	14	417	1	418	7	421	2	10	173	8	8
4198	0	9	9	417	1	418	7	421	3	10	173	0	8
4202	0	41	41	417	1	418	7	421	7	10	173	8	8
4204	0	50	50	417	1	418	7	421	9	10	173	0	8
4205	0	14	14	417	1	418	7	421	10	10	173	8	8
4206	0	9	9	417	1	418	7	422	1	10	173	0	8
4210	0	41	41	417	1	418	7	422	5	10	173	8	8
4212	0	50	50	417	1	418	7	422	7	10	173	0	8
4213	0	14	14	417	1	418	7	422	8	10	173	8	8
4214	0	9	9	417	1	418	7	422	9	10	173	0	8
4218	0	41	41	417	1	418	7	423	3	10	173	8	8
4220	0	50	50	417	1	418	7	423	5	10	173	0	8
4221	0	14	14	417	1	418	7	423	6	10	173	8	8
4222	0	9	9	417	1	418	7	423	7	10	173	0	8
4226	0	41	41	417	1	418	7	424	1	10	173	8	8
4228	0	50	50	417	1	418	7	424	3	10	173	0	8
4229	0	14	14	417	1	418	7	424	4	10	173	8	8
4230	0	9	9	417	1	418	7	424	5	10	173	0	8
4234	0	41	41	417	1	418	7	424	9	10	173	8	8
4252	0	30	30	425	1	426	7	426	7	10	173	0	8
4252	0	31	31	425	1	426	7	426	7	10	173	32	8
4253	0	47	47	425	1	426	7	426	8	10	173	24	8
4253	0	49	49	425	1	426	7	426	8	10	173	0	8
4254	0	33	33	425	1	426	7	426	9	10	173	0	8
4254	0	34	34	425	1	426	7	426	9	10	173	40	8
4255	0	38	38	425	1	426	7	426	10	10	173	0	8
4255	0	40	40	425	1	426	7	426	10	10	173	32	8
4255	0	48	48	425	1	426	7	426	10	10	173	8	8
4257	0	32	32	425	1	426	7	427	2	10	173	32	8
4259	0	35	35	425	1	426	7	427	4	10	173	16	8
4260	0	30	30	425	1	426	7	427	5	10	173	0	8
4260	0	31	31	425	1	426	7	427	5	10	173	32	8
4261	0	47	47	425	1	426	7	427	6	10	173	24	8
4261	0	49	49	425	1	426	7	427	6	10	173	0	8
4262	0	33	33	425	1	426	7	427	7	10	173	0	8
4262	0	34	34	425	1	426	7	427	7	10	173	40	8
4263	0	38	38	425	1	426	7	427	8	10	173	0	8
4263	0	40	40	425	1	426	7	427	8	10	173	32	8
4263	0	48	48	425	1	426	7	427	8	10	173	8	8
4265	0	32	32	425	1	426	7	427	10	10	173	32	8
4267	0	35	35	425	1	426	7	428	2	10	173	16	8
4268	0	30	30	425	1	426	7	428	3	10	173	0	8
4268	0	31	31	425	1	426	7	428	3	10	173	32	8
4269	0	47	47	425	1	426	7	428	4	10	173	24	8
4269	0	49	49	425	1	426	7	428	4	10	173	0	8
4270	0	33	33	425	1	426	7	428	5	10	173	0	8
4270	0	34	34	425	1	426	7	428	5	10	173	40	8
4271	0	38	38	425	1	426	7	428	6	10	173	0	8
4271	0	40	40	425	1	426	7	428	6	10	173	32	8
4271	0	48	48	425	1	426	7	428	6	10	173	8	8
4273	0	32	32	425	1	426	7	428	8	10	173	32	8
4275	0	35	35	425	1	426	7	428	10	10	173	16	8
4276	0	30	30	425	1	426	7	429	1	10	173	0	8
4276	0	31	31	425	1	426	7	429	1	10	173	32	8
4277	0	47	47	425	1	426	7	429	2	10	173	24	8
4277	0	49	49	425	1	426	7	429	2	10	173	0	8
4278	0	33	33	425	1	426	7	429	3	10	173	0	8
4278	0	34	34	425	1	426	7	429	3	10	173	40	8
4279	0	38	38	425	1	426	7	429	4	10	173	0	8
4279	0	40	40	425	1	426	7	429	4	10	173	32	8
4279	0	48	48	425	1	426	7	429	4	10	173	8	8
4281	0	32	32	425	1	426	7	429	6	10	173	32	8
4283	0	35	35	425	1	426	7	429	8	10	173	16	8
4284	0	30	30	425	1	426	7	429	9	10	173	0	8
4284	0	31	31	425	1	426	7	429	9	10	173	32	8
4285	0	47	47	425	1	426	7	429	10	10	173	24	8
4285	0	49	49	425	1	426	7	429	10	10	173	0	8
