% time	cellId	IMSI	RNTI	frame	sframe	pscchRi	pscchF1	pscchSF1	pscchF2	pscchSF2	mcs	TBS	psschRB	psschLen	pssch_itrp
3516	0	20	20	353	1	327	353	8	354	4	10	173	8	8	5
4156	0	9	9	417	1	312	417	9	418	4	10	173	0	8	2
4156	0	14	14	417	1	175	418	1	418	6	10	173	8	8	1
4156	0	41	41	417	1	88	417	9	418	5	10	173	8	8	6
4156	0	50	50	417	1	47	417	3	418	6	10	173	0	8	0
4236	0	30	30	425	1	236	426	2	426	3	10	173	0	8	0
4236	0	31	31	425	1	267	426	2	426	4	10	173	32	8	0
4236	0	32	32	425	1	52	425	5	425	9	10	173	32	8	5
4236	0	33	33	425	1	110	425	6	426	5	10	173	0	8	2
4236	0	34	34	425	1	2	425	3	425	4	10	173	40	8	2
4236	0	35	35	425	1	236	426	2	426	3	10	173	16	8	7
4236	0	38	38	425	1	298	426	1	426	5	10	173	0	8	3
4236	0	40	40	425	1	149	425	6	426	6	10	173	32	8	3
4236	0	47	47	425	1	173	425	9	426	4	10	173	24	8	1
4236	0	48	48	425	1	34	425	3	425	6	10	173	8	8	3
4236	0	49	49	425	1	292	425	5	425	9	10	173	0	8	1
4316	0	1	1	433	1	199	433	5	433	8	10	173	8	8	0
4316	0	5	5	433	1	303	433	4	434	6	10	173	16	8	3
4316	0	24	24	433	1	217	433	8	433	10	10	173	24	8	5
4316	0	44	44	433	1	259	433	4	433	6	10	173	16	8	6
4316	0	46	46	433	1	175	434	1	434	6	10	173	24	8	1
4396	0	12	12	441	1	194	441	3	442	6	10	173	0	8	7
4396	0	22	22	441	1	292	441	5	441	9	10	173	32	8	7
4396	0	28	28	441	1	18	441	3	441	5	10	173	32	8	0
4396	0	37	37	441	1	118	441	7	442	5	10	173	16	8	3
4476	0	8	8	449	1	30	449	1	450	5	10	173	24	8	0
4476	0	16	16	449	1	152	449	3	449	9	10	173	24	8	5
4476	0	17	17	449	1	346	449	2	450	1	10	173	40	8	7
4476	0	20	20	449	1	329	449	10	450	6	10	173	32	8	3
4476	0	23	23	449	1	169	449	5	449	10	10	173	0	8	7
4476	0	45	45	449	1	14	450	5	450	6	10	173	32	8	2
